date,high(째C),low(째C),HV_high(째C),HV_low(째C)
2019-04-28,10,2,15,4
2019-04-29,7,-1,15,4
2019-04-30,10,3,15,4
2019-05-01,8,5,15,4
2019-05-02,10,5,16,4
2019-05-03,12,6,16,4
2019-05-04,13,6,16,5
2019-05-05,17,5,16,5
2019-05-06,23,7,16,5
2019-05-07,15,5,17,5
2019-05-08,12,3,17,5
2019-05-09,16,8,17,6
2019-05-10,17,3,17,6
2019-05-11,13,1,18,6
2019-05-12,10,5,18,6
2019-05-13,7,5,18,6
2019-05-14,16,6,18,6
2019-05-15,20,5,19,7
2019-05-16,15,7,19,7
2019-05-17,19,9,19,7
2019-05-18,16,6,19,7
2019-05-19,22,9,19,7
2019-05-20,18,6,20,8
2019-05-21,18,5,20,8
2019-05-22,15,7,20,8
2019-05-23,27,8,20,8
2019-05-24,21,12,20,8
2019-05-25,20,11,20,8
2019-05-26,23,12,20,9
2019-05-27,23,10,21,9
2019-05-28,13,10,21,9
2019-05-29,16,10,21,9
2019-05-30,22,11,21,9
2019-05-31,18,9,21,9
2019-06-01,21,11,21,10
